state	pathogen	test_result	state_code	country	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26
Pernambuco	BAC	Pos	PE	Brazil																																																																																															
Pernambuco	COVS	Pos	PE	Brazil																																																																																															
Pernambuco	FLUA	Pos	PE	Brazil										0.4507042254		0.0185185185																																																																																			
Pernambuco	FLUB	Pos	PE	Brazil										0.0000000000																																																																																					
Pernambuco	META	Pos	PE	Brazil																																																																																															
Pernambuco	PARA	Pos	PE	Brazil																																																																																															
Pernambuco	RINO	Pos	PE	Brazil																																																																																															
Pernambuco	SC2	Pos	PE	Brazil										0.2189189189	0.3112391931	0.4662045061	0.5992037160	0.5261121857	0.3360655738	0.2814371257	0.0458015267	0.0204081633	0.0490196078	0.0291262136	0.0190476190	0.0151515152	0.0206185567	0.0147058824	0.0535714286	0.0967741935	0.1190476190	0.1367521368	0.2169811321	0.2290076336	0.3412698413	0.4291845494	0.4743276284	0.4574780059	0.4327902240	0.3263988522	0.2357071214	0.1970108696	0.1490787270	0.1040000000	0.0517751479	0.0633484163	0.0274170274	0.0288888889	0.0176991150	0.0077922078	0.0054945055	0.0215053763	0.0135869565	0.0209059233	0.0432276657	0.1217948718	0.2846889952	0.4648408586	0.4853868195	0.3787972722	0.2806052270	0.1963636364	0.1231527094	0.1388888889	0.0511363636	0.0401146132	0.0265060241	0.0189873418	0.0168918919	0.0187500000	0.0206896552	0.0288461538	0.0470588235	0.0645161290	0.0576923077	0.0824587706	0.0911949686	0.1102941176	0.1322033898	0.1404255319	0.2196078431	0.2653061224	0.2572178478	0.2850574713	0.2791762014	0.1957446809	0.1414634146	0.1310043668	0.1027027027	0.1481481481	0.0357142857	0.0677966102	0.0378787879			0.0140845070	0.0365853659	0.0373831776	0.0181818182
Pernambuco	VSR	Pos	PE	Brazil																																																																																															
Piauí	ADENO	Pos	PI	Brazil																																																																																															
