CD_MUN,CD_UF,SIGLA_UF,NM_UF,NM_UF_NORM,NM_MUN,NM_MUN_NORM,REGIAO,lat,long
1502202,15,PA,Pará,PARA,Capanema,CAPANEMA,NORTE,-1.1420838289749253,-47.117900920956565
1502301,15,PA,Pará,PARA,Capitão Poço,CAPITAO POCO,NORTE,-2.0421650669577547,-47.23339596111927
1502400,15,PA,Pará,PARA,Castanhal,CASTANHAL,NORTE,-1.2685148683733531,-47.87698077345739
1502509,15,PA,Pará,PARA,Chaves,CHAVES,NORTE,-0.032400553372509085,-49.83789183631974
1502608,15,PA,Pará,PARA,Colares,COLARES,NORTE,-0.9358459199923909,-48.273719096206676
1502707,15,PA,Pará,PARA,Conceição do Araguaia,CONCEICAO DO ARAGUAIA,NORTE,-8.182491117878028,-49.5127083942615
1502756,15,PA,Pará,PARA,Concórdia do Pará,CONCORDIA DO PARA,NORTE,-1.88172038340231,-47.97465720570959
1502764,15,PA,Pará,PARA,Cumaru do Norte,CUMARU DO NORTE,NORTE,-8.45817201286518,-51.22103709792486
1502772,15,PA,Pará,PARA,Curionópolis,CURIONOPOLIS,NORTE,-6.2289301916214255,-49.62461067379226
1502806,15,PA,Pará,PARA,Curralinho,CURRALINHO,NORTE,-1.58346226576996,-49.98803389548679
1502855,15,PA,Pará,PARA,Curuá,CURUA,NORTE,-1.8457428519085182,-55.11349123531498
1502905,15,PA,Pará,PARA,Curuçá,CURUCA,NORTE,-0.7427434469705405,-47.86388329995668
1502939,15,PA,Pará,PARA,Dom Eliseu,DOM ELISEU,NORTE,-4.186576160094258,-47.89811163276614
1502954,15,PA,Pará,PARA,Eldorado do Carajás,ELDORADO DO CARAJAS,NORTE,-6.069645319570917,-49.24543528614872
1503002,15,PA,Pará,PARA,Faro,FARO,NORTE,-1.1591503902210567,-57.805907589702244
1503044,15,PA,Pará,PARA,Floresta do Araguaia,FLORESTA DO ARAGUAIA,NORTE,-7.548322817466277,-49.576030541202435
1503077,15,PA,Pará,PARA,Garrafão do Norte,GARRAFAO DO NORTE,NORTE,-2.1683058053536697,-47.075976786549965
1503093,15,PA,Pará,PARA,Goianésia do Pará,GOIANESIA DO PARA,NORTE,-4.027193117296021,-49.00571835421043
1503101,15,PA,Pará,PARA,Gurupá,GURUPA,NORTE,-1.1494382854989338,-51.55392149822891
1503200,15,PA,Pará,PARA,Igarapé-Açu,IGARAPE ACU,NORTE,-1.1450184850937726,-47.5659877090523
1503309,15,PA,Pará,PARA,Igarapé-Miri,IGARAPE MIRI,NORTE,-2.062705658910977,-49.13074463976294
1503408,15,PA,Pará,PARA,Inhangapi,INHANGAPI,NORTE,-1.464677078113492,-47.92266995020077
1503457,15,PA,Pará,PARA,Ipixuna do Pará,IPIXUNA DO PARA,NORTE,-2.8057781622090583,-47.92154624984668
1503507,15,PA,Pará,PARA,Irituia,IRITUIA,NORTE,-1.8115355642670055,-47.39985942793916
1503606,15,PA,Pará,PARA,Itaituba,ITAITUBA,NORTE,-5.871135292030899,-56.49671530338022
1503705,15,PA,Pará,PARA,Itupiranga,ITUPIRANGA,NORTE,-5.114824257217532,-49.86970605836884
1503754,15,PA,Pará,PARA,Jacareacanga,JACAREACANGA,NORTE,-7.4452869234354555,-57.30270530447973
1503804,15,PA,Pará,PARA,Jacundá,JACUNDA,NORTE,-4.5985327160240255,-49.18119782905976
1503903,15,PA,Pará,PARA,Juruti,JURUTI,NORTE,-2.622888870014243,-56.22138990387431
1504000,15,PA,Pará,PARA,Limoeiro do Ajuru,LIMOEIRO DO AJURU,NORTE,-1.8642691017048283,-49.46913653661702
1504059,15,PA,Pará,PARA,Mãe do Rio,MAE DO RIO,NORTE,-1.991012523901026,-47.51278296830373
1504109,15,PA,Pará,PARA,Magalhães Barata,MAGALHAES BARATA,NORTE,-0.8098517416458569,-47.63520971420844
1504208,15,PA,Pará,PARA,Marabá,MARABA,NORTE,-5.629799734576397,-50.01696035472193
1504307,15,PA,Pará,PARA,Maracanã,MARACANA,NORTE,-0.8101349133079564,-47.497441449253024
1504406,15,PA,Pará,PARA,Marapanim,MARAPANIM,NORTE,-0.8374128417999374,-47.70981299738847
1504422,15,PA,Pará,PARA,Marituba,MARITUBA,NORTE,-1.3974502587060145,-48.319789761989554
1504455,15,PA,Pará,PARA,Medicilândia,MEDICILANDIA,NORTE,-3.1602131695627205,-53.19499824141321
1504505,15,PA,Pará,PARA,Melgaço,MELGACO,NORTE,-1.6076317961555866,-51.10386391203456
1504604,15,PA,Pará,PARA,Mocajuba,MOCAJUBA,NORTE,-2.5766891662805116,-49.46638172330654
1504703,15,PA,Pará,PARA,Moju,MOJU,NORTE,-2.6839114861877733,-49.07404190574693
