name	pathogen	test_result	epiweek	0-4	19-29	29-39	39-49	4-9	49-59	59-69	69-79	80+	9-19
Brasil	BAC	Neg	2022-03-26	53	3	2	0	13	2	1	0	0	11
Brasil	COVS	Neg	2022-03-26	53	3	2	0	13	2	1	0	0	11
Brasil	PARA	Neg	2022-03-26	52	3	2	0	13	2	1	0	0	11
Brasil	ADENO	Neg	2022-03-26	47	3	2	0	13	2	1	0	0	11
Brasil	FLUA	Pos	2022-03-26	1	0	1	0	1	0	0	0	0	0
Brasil	BAC	Pos	2022-03-26	0	0	0	0	0	0	0	0	0	0
Brasil	FLUA	Neg	2022-03-26	455	55	110	79	225	70	55	37	31	115
Brasil	PARA	Pos	2022-03-26	1	0	0	0	0	0	0	0	0	0
Brasil	COVS	Pos	2022-03-26	0	0	0	0	0	0	0	0	0	0
Brasil	SC2	Neg	2022-04-02	486	163	217	175	246	75	58	43	47	191
Brasil	BAC	Neg	2022-04-02	69	0	0	1	20	1	0	1	0	8
Brasil	FLUA	Pos	2022-04-02	0	0	2	0	2	0	0	1	0	1
Brasil	BOCA	Neg	2022-04-02	4	0	0	1	3	1	0	1	0	0
Brasil	SC2	Pos	2022-04-02	6	9	16	8	6	11	1	4	4	11
Brasil	ADENO	Neg	2022-04-02	58	0	0	1	20	1	0	1	0	8
Brasil	RINO	Neg	2022-04-02	25	0	0	0	5	1	0	1	0	4
Brasil	RINO	Pos	2022-04-02	44	0	0	1	15	0	0	0	0	4
Brasil	ENTERO	Neg	2022-04-02	3	0	0	1	3	1	0	1	0	0
Brasil	FLUB	Neg	2022-04-02	227	158	211	151	80	72	42	36	25	110
Brasil	FLUB	Pos	2022-04-02	0	0	1	0	0	0	0	0	0	0
Brasil	PARA	Pos	2022-04-02	3	0	0	0	1	0	0	0	0	0
Brasil	META	Neg	2022-04-02	54	0	0	1	18	1	0	1	0	6
Brasil	META	Pos	2022-04-02	15	0	0	0	2	0	0	0	0	2
Brasil	BAC	Pos	2022-04-02	0	0	0	0	0	0	0	0	0	0
Brasil	FLUA	Neg	2022-04-02	496	172	231	183	253	86	60	47	52	203
Brasil	ENTERO	Pos	2022-04-02	1	0	0	0	0	0	0	0	0	0
Brasil	COVS	Neg	2022-04-02	69	0	0	1	20	1	0	1	0	8
Brasil	VSR	Neg	2022-04-02	393	167	226	179	243	82	58	47	50	200
